session_id,user_id,session_date,page_views,session_duration_minutes,bounce_rate,device_type,browser,traffic_source,conversion,revenue
SESS_00000055,USER_001095,2025-06-07 20:56:23.326381,17,58,False,Tablet,Edge,Facebook,True,276.08
SESS_00000056,USER_000066,2025-06-07 20:54:26.688802,5,5,False,Mobile,Firefox,Direct,False,0.0
SESS_00000057,USER_001832,2025-06-07 20:53:41.218755,19,117,True,Mobile,Safari,Google,True,0.0
SESS_00000058,USER_001692,2025-06-07 20:58:36.468513,9,118,False,Mobile,Edge,Google,True,0.0
SESS_00000059,USER_000611,2025-06-07 20:54:32.633900,9,106,False,Desktop,Edge,Google,True,0.0
SESS_00000060,USER_000166,2025-06-07 20:55:57.087276,18,84,True,Desktop,Chrome,Google,True,378.66
SESS_00000061,USER_001001,2025-06-07 20:54:31.911716,6,79,True,Tablet,Edge,Referral,False,446.6
SESS_00000062,USER_000170,2025-06-07 20:54:32.306580,13,54,False,Mobile,Edge,Direct,True,0.0
SESS_00000063,USER_001174,2025-06-07 20:53:40.526333,8,45,True,Mobile,Safari,Email,False,0.0
SESS_00000064,USER_001436,2025-06-07 20:53:00.548947,1,70,True,Desktop,Firefox,Direct,True,0.0
SESS_00000065,USER_000792,2025-06-07 20:56:59.479091,3,82,True,Desktop,Chrome,Facebook,True,467.45
SESS_00000066,USER_000122,2025-06-07 20:57:44.092594,16,38,True,Tablet,Edge,Email,False,0.0
SESS_00000067,USER_000078,2025-06-07 20:54:25.107897,18,49,True,Mobile,Firefox,Referral,True,0.0
SESS_00000068,USER_001006,2025-06-07 20:55:45.765768,5,28,True,Mobile,Edge,Facebook,False,0.0
SESS_00000069,USER_000079,2025-06-07 20:55:42.702118,13,7,False,Desktop,Edge,Email,True,0.0
SESS_00000070,USER_000929,2025-06-07 20:57:27.552000,17,69,True,Desktop,Safari,Direct,True,0.0
SESS_00000071,USER_000941,2025-06-07 20:53:10.151229,6,104,True,Tablet,Safari,Email,True,327.65
SESS_00000072,USER_000935,2025-06-07 20:57:30.686305,2,95,False,Mobile,Safari,Email,False,269.68
SESS_00000073,USER_000759,2025-06-07 20:55:12.665369,15,97,False,Mobile,Chrome,Google,True,0.0
SESS_00000074,USER_000945,2025-06-07 20:53:33.139331,11,82,False,Mobile,Chrome,Direct,True,470.79
SESS_00000075,USER_001084,2025-06-07 20:56:20.318917,10,70,False,Mobile,Firefox,Google,True,0.0
SESS_00000076,USER_000592,2025-06-07 20:56:04.676226,11,108,True,Desktop,Safari,Google,True,0.0
SESS_00000077,USER_001675,2025-06-07 20:53:48.689570,18,23,True,Mobile,Chrome,Direct,True,0.0
SESS_00000078,USER_001952,2025-06-07 20:54:49.521202,15,45,False,Mobile,Edge,Facebook,True,387.91
SESS_00000079,USER_000890,2025-06-07 20:55:12.736979,10,102,True,Mobile,Firefox,Referral,True,0.0
SESS_00000080,USER_000214,2025-06-07 20:53:13.029682,16,110,True,Tablet,Firefox,Direct,True,174.48
SESS_00000081,USER_000336,2025-06-07 20:53:51.266608,3,61,True,Mobile,Firefox,Google,True,0.0
SESS_00000082,USER_001858,2025-06-07 20:57:34.071538,2,101,False,Tablet,Chrome,Referral,False,39.54
SESS_00000083,USER_000341,2025-06-07 20:55:27.333203,12,65,True,Mobile,Safari,Google,True,0.0
SESS_00000084,USER_000653,2025-06-07 20:53:07.653580,15,119,False,Desktop,Chrome,Direct,True,0.0
SESS_00000085,USER_001439,2025-06-07 20:53:06.586568,13,67,True,Desktop,Chrome,Email,False,487.09
SESS_00000086,USER_001870,2025-06-07 20:55:43.372656,12,17,True,Mobile,Firefox,Email,False,0.0
SESS_00000087,USER_001339,2025-06-07 20:56:54.495600,15,15,True,Desktop,Edge,Direct,False,0.0
SESS_00000088,USER_001078,2025-06-07 20:56:52.385486,14,36,False,Tablet,Safari,Direct,False,0.0
SESS_00000089,USER_000482,2025-06-07 20:56:48.946811,12,112,False,Mobile,Safari,Google,False,0.0
SESS_00000090,USER_000381,2025-06-07 20:54:25.587925,11,23,False,Mobile,Edge,Email,False,405.62
SESS_00000091,USER_000453,2025-06-07 20:55:03.288424,19,48,True,Mobile,Edge,Direct,True,487.08
SESS_00000092,USER_001333,2025-06-07 20:53:36.472040,8,85,False,Tablet,Chrome,Direct,False,0.0
SESS_00000093,USER_000035,2025-06-07 20:53:15.213926,20,46,True,Tablet,Edge,Direct,False,0.0
SESS_00000094,USER_001573,2025-06-07 20:57:54.910397,4,80,False,Tablet,Firefox,Google,True,0.0
SESS_00000095,USER_000629,2025-06-07 20:53:57.115260,16,117,False,Desktop,Safari,Referral,False,0.0
SESS_00000096,USER_000188,2025-06-07 20:55:05.863456,12,82,False,Tablet,Firefox,Google,False,0.0
SESS_00000097,USER_000258,2025-06-07 20:53:13.518528,19,88,True,Mobile,Firefox,Referral,True,0.0
SESS_00000098,USER_001425,2025-06-07 20:54:06.003533,14,51,True,Tablet,Firefox,Direct,True,0.0
SESS_00000099,USER_000172,2025-06-07 20:54:43.054622,17,28,False,Desktop,Safari,Referral,True,0.0
SESS_00000100,USER_000659,2025-06-07 20:57:06.899835,14,68,True,Tablet,Edge,Email,True,0.0
SESS_00000101,USER_000297,2025-06-07 20:56:37.512726,10,116,False,Desktop,Edge,Email,False,0.0
SESS_00000102,USER_001640,2025-06-07 20:55:43.448586,18,63,False,Desktop,Chrome,Referral,False,0.0
SESS_00000103,USER_000618,2025-06-07 20:57:45.391545,5,78,True,Desktop,Edge,Referral,True,261.25
SESS_00000104,USER_000050,2025-06-07 20:53:46.335636,20,93,True,Tablet,Safari,Direct,False,0.0
SESS_00000105,USER_001148,2025-06-07 20:55:34.494887,19,6,False,Mobile,Safari,Referral,True,0.0
SESS_00000106,USER_000898,2025-06-07 20:54:35.024537,16,116,True,Desktop,Chrome,Google,False,0.0
SESS_00000107,USER_000268,2025-06-07 20:55:52.667149,18,117,False,Mobile,Edge,Google,False,0.0
SESS_00000108,USER_001634,2025-06-07 20:56:04.358930,4,80,False,Tablet,Safari,Facebook,False,0.0
SESS_00000109,USER_001465,2025-06-07 20:53:11.463180,6,109,True,Mobile,Edge,Referral,False,0.0
SESS_00000110,USER_000679,2025-06-07 20:58:01.809062,4,53,True,Desktop,Edge,Facebook,True,0.0
SESS_00000111,USER_000507,2025-06-07 20:53:14.075510,12,89,True,Tablet,Safari,Facebook,False,0.0
SESS_00000112,USER_000060,2025-06-07 20:54:39.396473,11,1,True,Mobile,Edge,Facebook,False,477.5
SESS_00000113,USER_000993,2025-06-07 20:53:45.702510,14,54,False,Tablet,Edge,Referral,False,0.0
SESS_00000114,USER_001118,2025-06-07 20:54:14.623908,8,16,True,Mobile,Edge,Direct,False,0.0
SESS_00000115,USER_000482,2025-06-07 20:56:10.944674,7,45,False,Tablet,Firefox,Google,False,0.0
SESS_00000116,USER_000588,2025-06-07 20:54:40.549295,18,69,True,Mobile,Chrome,Google,False,154.61
SESS_00000117,USER_000998,2025-06-07 20:55:37.781090,14,90,False,Mobile,Edge,Direct,False,0.0
SESS_00000118,USER_001321,2025-06-07 20:56:09.413229,19,84,True,Desktop,Chrome,Facebook,False,284.09
SESS_00000119,USER_001353,2025-06-07 20:53:25.432405,3,81,True,Tablet,Firefox,Facebook,False,0.0
SESS_00000120,USER_001834,2025-06-07 20:58:38.471143,1,87,True,Desktop,Edge,Email,True,0.0
SESS_00000121,USER_000907,2025-06-07 20:54:58.853994,16,90,True,Mobile,Edge,Referral,False,0.0
SESS_00000122,USER_001708,2025-06-07 20:56:26.442187,20,1,True,Tablet,Edge,Facebook,False,0.0
SESS_00000123,USER_001864,2025-06-07 20:55:37.169350,9,2,True,Tablet,Firefox,Direct,True,0.0
SESS_00000124,USER_001301,2025-06-07 20:57:25.046973,2,111,False,Mobile,Chrome,Referral,False,0.0
SESS_00000125,USER_001534,2025-06-07 20:54:19.175957,10,5,True,Tablet,Firefox,Email,False,0.0
SESS_00000126,USER_000260,2025-06-07 20:53:38.702344,14,82,False,Tablet,Edge,Google,True,119.0
SESS_00000127,USER_001800,2025-06-07 20:55:51.574705,13,41,False,Desktop,Edge,Direct,True,0.0
SESS_00000128,USER_000748,2025-06-07 20:58:12.940928,19,70,True,Tablet,Chrome,Referral,True,0.0
SESS_00000129,USER_000507,2025-06-07 20:54:52.490050,1,1,False,Desktop,Edge,Referral,True,0.0
SESS_00000130,USER_000814,2025-06-07 20:56:03.357871,17,95,False,Tablet,Firefox,Google,True,499.28
SESS_00000131,USER_000021,2025-06-07 20:57:47.770950,15,10,True,Tablet,Chrome,Email,True,102.53
SESS_00000132,USER_001450,2025-06-07 20:55:37.838357,19,60,False,Tablet,Edge,Google,True,0.0
SESS_00000133,USER_000142,2025-06-07 20:58:22.161579,12,109,True,Tablet,Chrome,Email,True,339.48
SESS_00000134,USER_000260,2025-06-07 20:57:25.213872,15,94,True,Tablet,Firefox,Referral,False,466.08
SESS_00000135,USER_001357,2025-06-07 20:57:38.184195,18,53,True,Mobile,Firefox,Facebook,True,195.22
SESS_00000136,USER_001146,2025-06-07 20:53:46.715283,19,99,False,Tablet,Safari,Referral,False,0.0
SESS_00000137,USER_000182,2025-06-07 20:55:09.693661,2,79,True,Tablet,Firefox,Google,False,0.0
SESS_00000138,USER_001075,2025-06-07 20:54:23.423668,17,45,False,Desktop,Firefox,Facebook,False,0.0
SESS_00000139,USER_001327,2025-06-07 20:57:27.465360,17,105,True,Mobile,Chrome,Referral,True,0.0
SESS_00000140,USER_001967,2025-06-07 20:57:00.396780,18,63,False,Desktop,Chrome,Google,False,0.0
SESS_00000141,USER_001474,2025-06-07 20:55:17.137244,19,77,True,Tablet,Safari,Direct,False,0.0
SESS_00000142,USER_000672,2025-06-07 20:55:50.579689,6,84,True,Desktop,Edge,Referral,True,0.0
SESS_00000143,USER_001743,2025-06-07 20:57:50.158441,9,119,True,Desktop,Chrome,Email,True,0.0
SESS_00000144,USER_000691,2025-06-07 20:54:03.141225,17,39,False,Mobile,Safari,Direct,True,0.0
SESS_00000145,USER_000357,2025-06-07 20:54:54.021152,14,24,False,Mobile,Chrome,Email,True,414.12
SESS_00000146,USER_001142,2025-06-07 20:56:00.806566,1,46,False,Desktop,Chrome,Referral,False,0.0
SESS_00000147,USER_000431,2025-06-07 20:54:22.977838,11,58,False,Tablet,Firefox,Referral,True,0.0
SESS_00000148,USER_001678,2025-06-07 20:54:11.220477,12,112,False,Tablet,Chrome,Referral,False,0.0
SESS_00000149,USER_001229,2025-06-07 20:54:08.308055,1,1,True,Mobile,Chrome,Google,True,0.0
SESS_00000150,USER_000313,2025-06-07 20:56:02.222331,9,91,True,Mobile,Safari,Email,True,0.0
SESS_00000151,USER_001993,2025-06-07 20:58:26.884762,12,15,True,Mobile,Edge,Google,False,0.0
SESS_00000152,USER_001600,2025-06-07 20:57:54.005316,14,7,False,Mobile,Edge,Google,False,0.0
SESS_00000153,USER_000993,2025-06-07 20:54:41.981020,10,59,False,Desktop,Chrome,Referral,True,0.0
SESS_00000154,USER_000271,2025-06-07 20:55:45.311005,18,78,True,Tablet,Chrome,Direct,True,414.76
SESS_00000155,USER_000512,2025-06-07 20:56:31.006047,9,83,False,Mobile,Chrome,Referral,True,444.69
SESS_00000156,USER_000276,2025-06-07 20:58:34.741924,2,87,True,Desktop,Firefox,Direct,False,281.84
SESS_00000157,USER_001794,2025-06-07 20:53:26.805599,12,59,True,Desktop,Edge,Referral,True,424.49
SESS_00000158,USER_000775,2025-06-07 20:55:09.270336,12,58,False,Tablet,Safari,Facebook,True,0.0
SESS_00000159,USER_000848,2025-06-07 20:57:46.067790,18,42,False,Tablet,Safari,Direct,False,133.69
SESS_00000160,USER_001982,2025-06-07 20:55:48.894379,17,62,True,Tablet,Edge,Facebook,False,0.0
SESS_00000161,USER_000093,2025-06-07 20:54:51.081987,2,7,True,Mobile,Safari,Facebook,False,0.0
SESS_00000162,USER_000698,2025-06-07 20:55:43.268146,8,31,False,Mobile,Safari,Google,False,0.0
SESS_00000163,USER_001999,2025-06-07 20:54:08.120138,17,37,False,Mobile,Chrome,Facebook,True,0.0
SESS_00000164,USER_000638,2025-06-07 20:58:20.339315,12,5,False,Tablet,Edge,Google,True,0.0
SESS_00000165,USER_000876,2025-06-07 20:57:15.304396,20,117,False,Tablet,Chrome,Direct,True,0.0
SESS_00000166,USER_001328,2025-06-07 20:56:56.620551,4,26,False,Mobile,Safari,Facebook,False,0.0
SESS_00000167,USER_001178,2025-06-07 20:56:58.286152,17,14,True,Desktop,Firefox,Facebook,True,0.0
SESS_00000168,USER_001259,2025-06-07 20:54:15.588851,15,109,False,Tablet,Chrome,Direct,True,356.91
SESS_00000169,USER_000773,2025-06-07 20:58:24.780848,15,90,False,Mobile,Firefox,Email,True,272.75
SESS_00000170,USER_001991,2025-06-07 20:57:59.007813,1,111,False,Tablet,Firefox,Email,True,111.68
SESS_00000171,USER_000852,2025-06-07 20:53:43.777679,19,99,False,Mobile,Safari,Referral,True,152.88
SESS_00000172,USER_000983,2025-06-07 20:57:19.578226,13,90,True,Tablet,Edge,Direct,False,0.0
SESS_00000173,USER_000186,2025-06-07 20:52:55.148410,17,86,False,Mobile,Edge,Facebook,False,0.0
SESS_00000174,USER_000115,2025-06-07 20:52:46.723927,18,38,True,Desktop,Edge,Facebook,True,452.59
SESS_00000175,USER_000916,2025-06-07 20:52:41.743456,19,95,True,Tablet,Chrome,Facebook,True,0.0
SESS_00000176,USER_000275,2025-06-07 20:53:08.604409,14,3,False,Mobile,Edge,Facebook,True,0.0
SESS_00000177,USER_001287,2025-06-07 20:55:07.367066,18,97,False,Mobile,Safari,Referral,False,0.0
SESS_00000178,USER_000658,2025-06-07 20:56:07.636160,12,73,True,Tablet,Firefox,Email,True,0.0
SESS_00000179,USER_001016,2025-06-07 20:57:01.562072,17,31,False,Desktop,Chrome,Referral,True,0.0
SESS_00000180,USER_001882,2025-06-07 20:55:09.514894,10,14,True,Tablet,Firefox,Facebook,False,0.0
SESS_00000181,USER_000354,2025-06-07 20:56:50.865341,7,23,False,Tablet,Chrome,Google,False,0.0
SESS_00000182,USER_001714,2025-06-07 20:57:22.223101,16,10,True,Mobile,Firefox,Email,False,166.47
SESS_00000183,USER_001865,2025-06-07 20:53:41.508785,10,77,True,Tablet,Edge,Google,True,0.0
SESS_00000184,USER_000113,2025-06-07 20:53:19.200119,5,27,True,Mobile,Safari,Direct,True,0.0
SESS_00000185,USER_000153,2025-06-07 20:57:23.167341,2,49,True,Tablet,Edge,Email,True,136.9
SESS_00000186,USER_000426,2025-06-07 20:57:27.129167,9,88,False,Desktop,Firefox,Email,True,0.0
SESS_00000187,USER_000751,2025-06-07 20:55:08.710643,13,36,True,Tablet,Edge,Google,False,0.0
SESS_00000188,USER_000351,2025-06-07 20:53:05.781845,11,20,True,Mobile,Chrome,Facebook,True,427.23
SESS_00000189,USER_000196,2025-06-07 20:57:11.786943,16,17,True,Tablet,Edge,Referral,False,0.0
SESS_00000190,USER_001496,2025-06-07 20:57:25.094407,10,69,False,Desktop,Edge,Direct,True,495.85
SESS_00000191,USER_000684,2025-06-07 20:55:55.939641,10,84,False,Desktop,Firefox,Facebook,True,463.8
SESS_00000192,USER_001911,2025-06-07 20:57:44.189892,12,103,True,Desktop,Edge,Direct,True,306.4
SESS_00000193,USER_000009,2025-06-07 20:52:51.973580,9,47,True,Mobile,Safari,Google,True,0.0
SESS_00000194,USER_001038,2025-06-07 20:56:26.072336,16,5,False,Mobile,Firefox,Google,False,0.0
SESS_00000195,USER_000733,2025-06-07 20:54:24.770348,13,31,False,Tablet,Chrome,Referral,True,0.0
SESS_00000196,USER_001809,2025-06-07 20:58:14.005229,7,79,False,Mobile,Edge,Referral,True,0.0
SESS_00000197,USER_000708,2025-06-07 20:57:10.379777,12,63,True,Desktop,Chrome,Email,True,0.0
SESS_00000198,USER_000796,2025-06-07 20:57:29.609355,1,74,False,Desktop,Safari,Facebook,False,185.14
SESS_00000199,USER_000211,2025-06-07 20:56:06.538684,15,104,False,Desktop,Safari,Email,False,0.0
SESS_00000200,USER_000662,2025-06-07 20:57:26.022763,17,77,True,Tablet,Edge,Facebook,False,248.42
SESS_00000201,USER_001617,2025-06-07 20:57:23.367970,5,21,True,Desktop,Safari,Google,True,0.0
SESS_00000202,USER_000038,2025-06-07 20:57:23.699090,2,52,True,Tablet,Chrome,Referral,True,413.31
SESS_00000203,USER_001747,2025-06-07 20:55:31.412993,19,61,True,Tablet,Firefox,Email,True,0.0
SESS_00000204,USER_000161,2025-06-07 20:55:54.698627,3,109,False,Tablet,Firefox,Direct,True,0.0
SESS_00000205,USER_000223,2025-06-07 20:52:54.431880,5,105,True,Desktop,Firefox,Referral,False,0.0
SESS_00000206,USER_001877,2025-06-07 20:53:48.811538,4,35,True,Tablet,Firefox,Facebook,False,0.0
SESS_00000207,USER_000299,2025-06-07 20:58:08.774282,9,95,True,Desktop,Safari,Google,True,0.0
SESS_00000208,USER_001416,2025-06-07 20:56:22.189489,5,100,True,Desktop,Chrome,Direct,True,0.0
SESS_00000209,USER_001079,2025-06-07 20:53:49.607608,20,22,True,Mobile,Firefox,Facebook,True,0.0
SESS_00000210,USER_001713,2025-06-07 20:55:30.540281,16,73,True,Tablet,Firefox,Facebook,True,302.08
SESS_00000211,USER_001994,2025-06-07 20:55:13.950641,13,15,False,Mobile,Firefox,Referral,False,348.17
SESS_00000212,USER_000563,2025-06-07 20:54:07.124735,14,95,False,Mobile,Safari,Direct,False,0.0
SESS_00000213,USER_001913,2025-06-07 20:55:30.112279,12,28,False,Desktop,Safari,Direct,True,0.0
SESS_00000214,USER_000953,2025-06-07 20:53:21.794227,2,77,True,Mobile,Firefox,Google,False,0.0
SESS_00000215,USER_000994,2025-06-07 20:52:47.655393,7,117,True,Tablet,Safari,Email,False,81.93
SESS_00000216,USER_000142,2025-06-07 20:54:03.512945,16,96,True,Mobile,Firefox,Referral,True,0.0
SESS_00000217,USER_001663,2025-06-07 20:53:43.458517,20,86,False,Tablet,Edge,Email,True,0.0
SESS_00000218,USER_001519,2025-06-07 20:58:19.935006,6,89,False,Desktop,Firefox,Direct,False,0.0
SESS_00000219,USER_001217,2025-06-07 20:54:21.595729,6,22,True,Desktop,Firefox,Google,True,0.0
SESS_00000220,USER_001923,2025-06-07 20:56:54.848818,11,23,True,Desktop,Safari,Referral,True,0.0
SESS_00000221,USER_000994,2025-06-07 20:56:53.068456,1,99,False,Desktop,Chrome,Facebook,False,0.0
SESS_00000222,USER_000638,2025-06-07 20:55:17.621838,11,119,True,Desktop,Firefox,Facebook,False,0.0
SESS_00000223,USER_001384,2025-06-07 20:57:42.043603,1,67,True,Tablet,Firefox,Facebook,True,0.0
SESS_00000224,USER_001862,2025-06-07 20:57:08.369439,6,89,True,Desktop,Edge,Facebook,True,0.0
SESS_00000225,USER_000403,2025-06-07 20:56:02.664719,11,71,True,Desktop,Edge,Referral,False,39.84
SESS_00000226,USER_001855,2025-06-07 20:54:39.535961,20,3,False,Desktop,Chrome,Referral,False,0.0
SESS_00000227,USER_000988,2025-06-07 20:57:07.199593,12,74,False,Desktop,Firefox,Facebook,False,0.0
SESS_00000228,USER_000373,2025-06-07 20:55:22.305291,7,2,True,Mobile,Chrome,Referral,False,35.02
SESS_00000229,USER_000893,2025-06-07 20:58:20.376859,20,105,False,Tablet,Safari,Email,False,0.0
SESS_00000230,USER_001473,2025-06-07 20:58:07.836054,12,22,True,Mobile,Firefox,Facebook,False,20.67
SESS_00000231,USER_001307,2025-06-07 20:56:01.613089,13,74,True,Tablet,Firefox,Email,True,166.47
SESS_00000232,USER_000267,2025-06-07 20:54:53.098258,12,103,False,Tablet,Chrome,Direct,True,437.12
SESS_00000233,USER_000728,2025-06-07 20:56:39.286925,14,23,False,Desktop,Firefox,Email,False,0.0
SESS_00000234,USER_001836,2025-06-07 20:54:38.203091,17,4,False,Desktop,Safari,Referral,False,0.0
SESS_00000235,USER_000073,2025-06-07 20:53:41.464941,8,26,False,Mobile,Firefox,Facebook,False,489.21
SESS_00000236,USER_000320,2025-06-07 20:54:47.100679,1,56,False,Mobile,Firefox,Google,False,0.0
SESS_00000237,USER_000605,2025-06-07 20:56:18.889243,8,39,True,Tablet,Firefox,Email,True,0.0
SESS_00000238,USER_001822,2025-06-07 20:55:45.390220,9,25,True,Desktop,Chrome,Facebook,False,0.0
SESS_00000239,USER_001333,2025-06-07 20:53:46.060958,1,80,False,Desktop,Chrome,Google,True,81.72
SESS_00000240,USER_001762,2025-06-07 20:56:33.017333,13,36,False,Mobile,Edge,Referral,False,0.0
SESS_00000241,USER_000898,2025-06-07 20:55:21.719614,13,38,False,Desktop,Edge,Google,True,0.0
SESS_00000242,USER_001350,2025-06-07 20:53:16.907274,1,59,True,Tablet,Chrome,Direct,True,0.0
SESS_00000243,USER_000603,2025-06-07 20:56:05.562608,10,68,True,Mobile,Edge,Referral,False,52.39
SESS_00000244,USER_001514,2025-06-07 20:53:34.473302,17,62,False,Tablet,Chrome,Direct,False,0.0
SESS_00000245,USER_000143,2025-06-07 20:57:16.695059,2,85,True,Mobile,Firefox,Google,True,402.8
SESS_00000246,USER_001880,2025-06-07 20:53:57.255319,19,23,True,Mobile,Firefox,Direct,False,0.0
SESS_00000247,USER_001819,2025-06-07 20:58:38.788184,9,11,True,Desktop,Chrome,Email,True,0.0
SESS_00000248,USER_000563,2025-06-07 20:55:55.068689,7,10,True,Mobile,Safari,Direct,True,0.0
SESS_00000249,USER_001491,2025-06-07 20:56:16.359839,17,66,False,Tablet,Safari,Direct,False,0.0
SESS_00000250,USER_001579,2025-06-07 20:56:43.544412,14,57,False,Tablet,Chrome,Facebook,True,0.0
SESS_00000251,USER_000467,2025-06-07 20:53:38.757566,12,120,True,Mobile,Edge,Direct,False,0.0
